Job Title,Company,Location,Experience Level,Salary,Industry,Required Skills
Charity fundraiser,"Horn, Russell and Soto",Sydney,Mid Level,93000.0,Healthcare,"Pharmaceuticals, Medical Research, Nursing"
Illustrator,"Ramos, Diaz and Martin",London,Entry Level,63000.0,Healthcare,"Medical Research, Pharmaceuticals"
Company secretary,Gray Inc,San Francisco,Mid Level,116000.0,Software,React
Insurance account manager,"Miller, Taylor and Beck",Toronto,Senior Level,65000.0,Retail,"Merchandising, Customer Service, Sales"
Armed forces logistics/support/administrative officer,Gardner and Sons,Toronto,Senior Level,106000.0,Marketing,"SEO, Google Ads, Social Media"
Corporate investment banker,Freeman-James,Toronto,Mid Level,143000.0,Marketing,"Content Writing, Social Media, Market Research, Google Ads"
Arts development officer,Morales and Sons,New York,Senior Level,45000.0,Marketing,"Google Ads, Content Writing, SEO, Social Media"
Operations geologist,"Hall, Hampton and Christensen",London,Senior Level,47000.0,Retail,"Customer Service, Sales, Merchandising"
"Scientist, research (medical)",Werner PLC,London,Entry Level,116000.0,Healthcare,"Nursing, Medical Research, Patient Care"
Civil Service administrator,Johnson-Boyd,San Francisco,Senior Level,94000.0,Marketing,SEO
Advertising account planner,Avila-Boyd,Bangalore,Senior Level,117000.0,Education,Teaching
Counsellor,Hatfield and Sons,London,Mid Level,135000.0,Healthcare,"Medical Research, Nursing"
Civil Service fast streamer,"Wagner, Blair and Wright",San Francisco,Mid Level,123000.0,Software,"C++, AWS, React, Python"
Video editor,"Lamb, Hawkins and Joyce",Berlin,Senior Level,46000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
"Teacher, special educational needs","Valdez, Gomez and Bates",Toronto,Entry Level,61000.0,Retail,Merchandising
Technical author,Spencer-Hays,Bangalore,Entry Level,41000.0,Retail,"Sales, Customer Service, Merchandising"
Maintenance engineer,"Perez, Moore and Payne",London,Entry Level,71000.0,Marketing,"Social Media, Content Writing, Market Research, SEO"
IT technical support officer,Alvarez-Swanson,New York,Mid Level,145000.0,Retail,"Customer Service, Merchandising, Sales"
Illustrator,Hughes PLC,San Francisco,Entry Level,129000.0,Software,"SQL, Java, C++"
Health physicist,"Becker, Phillips and Day",Toronto,Mid Level,82000.0,Marketing,"Social Media, Google Ads, Market Research, Content Writing"
Ecologist,Barnes PLC,Bangalore,Senior Level,50000.0,Healthcare,Pharmaceuticals
"Production designer, theatre/television/film",Avila Inc,London,Mid Level,138000.0,Marketing,"Social Media, Content Writing, SEO, Market Research"
Television floor manager,White-Ray,Sydney,Mid Level,106000.0,Retail,"Customer Service, Sales"
Forensic psychologist,Johnson Ltd,Sydney,Senior Level,130000.0,Marketing,"SEO, Content Writing"
"Solicitor, Scotland","Baxter, Mcdonald and Tucker",London,Senior Level,45000.0,Healthcare,"Pharmaceuticals, Nursing"
"Designer, exhibition/display",Lawson-Dyer,New York,Entry Level,149000.0,Marketing,"Content Writing, Social Media, Market Research"
Dancer,"Roberts, Johnson and Robinson",Bangalore,Entry Level,60000.0,Software,"React, C++, Machine Learning"
Midwife,Jackson-James,Sydney,Mid Level,107000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
"Embryologist, clinical","Shelton, Cooper and Martin",Bangalore,Entry Level,68000.0,Education,"Curriculum Design, Research"
Broadcast presenter,Smith and Sons,Sydney,Entry Level,104000.0,Marketing,"Content Writing, Market Research"
Television camera operator,Harris-Ford,Toronto,Entry Level,70000.0,Marketing,"SEO, Content Writing"
Sports development officer,"Gordon, Bailey and Bautista",Toronto,Entry Level,95000.0,Marketing,"Market Research, Content Writing"
Information systems manager,Joyce-King,Sydney,Senior Level,89000.0,Retail,"Customer Service, Sales, Merchandising"
Physiological scientist,Rice-Cummings,London,Senior Level,59000.0,Finance,"Financial Modeling, Python"
Sports therapist,"Smith, Woods and Sanchez",Toronto,Senior Level,121000.0,Finance,"Python, Financial Modeling, Risk Analysis, SQL"
Special effects artist,Owens and Sons,London,Senior Level,50000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Oceanographer,Powell LLC,San Francisco,Entry Level,58000.0,Finance,"Excel, SQL, Risk Analysis"
Magazine features editor,"Rollins, Murphy and Ross",Bangalore,Mid Level,110000.0,Software,React
Chief Strategy Officer,Gordon LLC,Toronto,Senior Level,120000.0,Marketing,"Market Research, Social Media, Google Ads"
Communications engineer,King Group,Sydney,Mid Level,122000.0,Retail,Customer Service
Public relations account executive,"Woods, Jordan and Martinez",New York,Mid Level,49000.0,Manufacturing,Quality Control
Production manager,Gross Ltd,San Francisco,Senior Level,123000.0,Retail,"Sales, Customer Service, Merchandising"
"Psychologist, forensic",Lawrence-Ali,London,Entry Level,91000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Chartered public finance accountant,"Ford, Yu and Barron",Berlin,Senior Level,95000.0,Manufacturing,Quality Control
"Programme researcher, broadcasting/film/video",Ramirez-Davidson,Sydney,Senior Level,95000.0,Software,"Java, Python, Machine Learning, React"
"Designer, fashion/clothing","Cabrera, Brooks and Sanford",New York,Entry Level,88000.0,Healthcare,Patient Care
Textile designer,Green-Hopkins,Berlin,Mid Level,89000.0,Retail,"Sales, Merchandising"
Herbalist,White Inc,Berlin,Mid Level,142000.0,Finance,"Financial Modeling, Excel"
"Librarian, academic","Price, Owen and Morgan",Sydney,Senior Level,97000.0,Education,"Teaching, Curriculum Design, Research"
Chartered accountant,Hamilton-Snow,London,Entry Level,141000.0,Retail,Customer Service
"Radiographer, therapeutic",Ortiz Ltd,Sydney,Entry Level,42000.0,Finance,"SQL, Risk Analysis, Financial Modeling, Excel"
Engineering geologist,"Hernandez, Wiggins and Moore",Berlin,Mid Level,42000.0,Healthcare,"Patient Care, Medical Research, Pharmaceuticals"
Nutritional therapist,Serrano LLC,Sydney,Senior Level,101000.0,Manufacturing,Supply Chain
Pathologist,"Sanchez, Beck and Lambert",Berlin,Mid Level,60000.0,Marketing,Market Research
Risk manager,"Tran, Gallagher and Anderson",Sydney,Mid Level,74000.0,Healthcare,"Pharmaceuticals, Nursing, Patient Care, Medical Research"
Social worker,"Washington, Mcgrath and Adams",New York,Mid Level,133000.0,Healthcare,"Nursing, Patient Care"
Civil Service fast streamer,Medina and Sons,London,Senior Level,59000.0,Retail,"Customer Service, Merchandising"
Hospital doctor,Liu Group,New York,Entry Level,65000.0,Retail,"Merchandising, Sales, Customer Service"
"Surveyor, building",Schneider-Calderon,Bangalore,Mid Level,126000.0,Retail,"Customer Service, Merchandising, Sales"
"Scientist, product/process development",Olson LLC,Sydney,Senior Level,85000.0,Healthcare,"Medical Research, Pharmaceuticals"
Rural practice surveyor,Sanchez Ltd,Sydney,Entry Level,77000.0,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care"
Herpetologist,Vaughn and Sons,Sydney,Mid Level,112000.0,Education,EdTech
"Merchandiser, retail",Bennett and Sons,Berlin,Mid Level,46000.0,Education,Research
Market researcher,Adams-Taylor,London,Mid Level,61000.0,Manufacturing,"Supply Chain, Production Planning"
"Lecturer, higher education","Brown, Schultz and Blackburn",Berlin,Senior Level,150000.0,Software,"AWS, Java"
"Programmer, applications","Washington, Shaw and Richards",San Francisco,Entry Level,132000.0,Marketing,"Google Ads, SEO, Market Research"
Chief of Staff,Roberts-Baker,Berlin,Entry Level,44000.0,Finance,"Financial Modeling, Excel, Risk Analysis"
Leisure centre manager,Allen and Sons,Bangalore,Mid Level,66000.0,Finance,"Risk Analysis, Excel"
"Scientist, research (maths)",Howe LLC,Sydney,Mid Level,116000.0,Software,"Python, C++, React"
Toxicologist,Martin Group,Sydney,Mid Level,61000.0,Finance,"Python, Excel, Risk Analysis, Financial Modeling"
Energy manager,Caldwell Inc,Berlin,Entry Level,69000.0,Healthcare,"Medical Research, Patient Care"
Adult guidance worker,"Smith, Davis and Avila",Toronto,Mid Level,88000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Financial planner,"Roach, Davis and Peterson",San Francisco,Senior Level,95000.0,Education,"EdTech, Teaching, Curriculum Design"
Armed forces logistics/support/administrative officer,White Group,San Francisco,Entry Level,128000.0,Marketing,"SEO, Content Writing"
Training and development officer,Lee-Hernandez,Bangalore,Senior Level,134000.0,Finance,Excel
Garment/textile technologist,"Bartlett, Cook and Conley",New York,Entry Level,97000.0,Finance,"Financial Modeling, Risk Analysis, Python"
Occupational therapist,"Arias, Jackson and Duffy",London,Entry Level,105000.0,Marketing,"SEO, Social Media"
"Surveyor, planning and development","Castillo, Lee and Williams",Toronto,Mid Level,73000.0,Marketing,"Social Media, SEO, Market Research"
"Engineer, civil (consulting)","Sandoval, Hunter and Miller",London,Mid Level,122000.0,Retail,"Customer Service, Merchandising"
"Pharmacist, hospital",Williams Inc,Toronto,Entry Level,57000.0,Software,AWS
Site engineer,"Snyder, Bryant and Harvey",Toronto,Mid Level,90000.0,Finance,"SQL, Excel"
Commercial horticulturist,Weeks LLC,Berlin,Entry Level,120000.0,Education,"EdTech, Teaching"
Paediatric nurse,Macias LLC,Sydney,Mid Level,56000.0,Healthcare,Nursing
"Therapist, sports","Perez, Hernandez and Arnold",Berlin,Mid Level,83000.0,Retail,"Sales, Merchandising, Customer Service"
Advertising art director,Garza-Warren,Berlin,Mid Level,139000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Commissioning editor,Thompson-Perez,Toronto,Mid Level,61000.0,Finance,"SQL, Financial Modeling"
Location manager,"Simmons, Jimenez and Curry",Berlin,Mid Level,113000.0,Education,"EdTech, Research, Teaching, Curriculum Design"
Psychiatrist,Hale-Brandt,New York,Entry Level,71000.0,Marketing,"SEO, Social Media, Content Writing, Google Ads"
Chemical engineer,Smith-Becker,Bangalore,Entry Level,44000.0,Healthcare,"Patient Care, Medical Research, Nursing"
Warehouse manager,Lambert-Lawson,Berlin,Mid Level,58000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Animal nutritionist,Chan-Smith,Sydney,Entry Level,130000.0,Healthcare,"Nursing, Medical Research, Patient Care, Pharmaceuticals"
Agricultural engineer,Hartman-Foster,San Francisco,Mid Level,130000.0,Education,"Curriculum Design, Research"
"Designer, jewellery","Bass, Barton and Fisher",Toronto,Mid Level,57000.0,Software,"Java, AWS, Python, Machine Learning"
"Editor, magazine features","Johns, Beard and Perkins",London,Entry Level,75000.0,Retail,"Merchandising, Customer Service, Sales"
Training and development officer,"Bauer, Perry and Price",New York,Mid Level,100000.0,Manufacturing,Supply Chain
Child psychotherapist,Dillon PLC,New York,Mid Level,113000.0,Software,"Machine Learning, AWS, React"
Dramatherapist,Cummings-Ross,Berlin,Entry Level,75000.0,Healthcare,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
Housing manager/officer,Jones-Lamb,San Francisco,Senior Level,92000.0,Education,"EdTech, Teaching"
Geoscientist,Proctor Ltd,Bangalore,Entry Level,81000.0,Healthcare,Medical Research
Environmental consultant,Wells and Sons,New York,Entry Level,104000.0,Marketing,"Market Research, Content Writing"
Public house manager,"Barker, Mosley and Hill",Berlin,Entry Level,82000.0,Marketing,"Google Ads, Social Media"
Community education officer,Ward PLC,London,Senior Level,93000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Logistics and distribution manager,Preston Ltd,San Francisco,Entry Level,109000.0,Marketing,"Content Writing, SEO"
Restaurant manager,"Harmon, Evans and Rocha",London,Mid Level,71000.0,Education,"Research, Teaching, Curriculum Design"
Architectural technologist,"Ruiz, Valdez and Lambert",Toronto,Mid Level,60000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Management consultant,"Barnes, Lewis and Foster",London,Senior Level,55000.0,Finance,Python
Immunologist,Glover-Allen,Toronto,Entry Level,98000.0,Finance,"Risk Analysis, Python, SQL"
Volunteer coordinator,"Johnson, Andersen and Kramer",Berlin,Mid Level,125000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Colour technologist,"Gay, Young and Baxter",Toronto,Mid Level,64000.0,Healthcare,"Medical Research, Pharmaceuticals"
Purchasing manager,"Kane, Moreno and Gilbert",London,Senior Level,138000.0,Software,C++
Lobbyist,Smith-Jacobs,Bangalore,Senior Level,82000.0,Education,"Curriculum Design, Research"
Tax inspector,Andrews PLC,Bangalore,Entry Level,100000.0,Manufacturing,Production Planning
"Clinical scientist, histocompatibility and immunogenetics","Nielsen, Bridges and Miller",Bangalore,Entry Level,147000.0,Retail,"Customer Service, Merchandising, Sales"
"Education officer, community","Miller, Foster and Wilson",San Francisco,Mid Level,127000.0,Healthcare,"Patient Care, Medical Research"
"Scientist, research (life sciences)",Neal-Davis,Bangalore,Entry Level,103000.0,Finance,SQL
IT sales professional,Brown-Taylor,New York,Senior Level,122000.0,Software,"Machine Learning, AWS"
"Engineer, civil (contracting)","Herring, Thomas and Miller",Toronto,Senior Level,67000.0,Software,"Java, C++, React"
"Engineer, biomedical",Vance-Jackson,London,Senior Level,89000.0,Education,"Research, Curriculum Design, EdTech"
Health visitor,"Mitchell, Harris and Ward",New York,Senior Level,70000.0,Marketing,"Social Media, SEO, Market Research, Content Writing"
Multimedia specialist,Ho-Krause,San Francisco,Mid Level,115000.0,Finance,"SQL, Excel, Python, Financial Modeling"
Licensed conveyancer,"Berg, Green and Gallegos",London,Senior Level,71000.0,Manufacturing,Production Planning
Marine scientist,Hall Ltd,Bangalore,Entry Level,102000.0,Education,"Teaching, EdTech, Research"
Health physicist,Shaw and Sons,Bangalore,Senior Level,148000.0,Healthcare,"Medical Research, Pharmaceuticals, Nursing"
Wellsite geologist,Branch and Sons,San Francisco,Mid Level,145000.0,Healthcare,"Medical Research, Nursing"
Customer service manager,White-Osborn,New York,Mid Level,134000.0,Healthcare,"Nursing, Pharmaceuticals"
Broadcast presenter,Davis-Carpenter,New York,Mid Level,91000.0,Software,"C++, React, Java, AWS"
"Engineer, manufacturing systems",Little Group,Toronto,Mid Level,67000.0,Education,"Teaching, EdTech"
"Surveyor, building control","Cook, Brown and Moore",Sydney,Senior Level,56000.0,Retail,Customer Service
Geographical information systems officer,Stafford Group,Sydney,Senior Level,51000.0,Healthcare,"Patient Care, Nursing, Pharmaceuticals, Medical Research"
Fish farm manager,Mccullough-Brandt,London,Entry Level,83000.0,Education,EdTech
English as a second language teacher,"Harvey, Aguirre and Rosario",Sydney,Mid Level,115000.0,Retail,Sales
Estate agent,"Barnett, Moss and Dodson",Sydney,Mid Level,136000.0,Retail,Customer Service
"Lecturer, further education",Mercer-Lopez,Toronto,Mid Level,44000.0,Retail,"Merchandising, Sales, Customer Service"
Clinical cytogeneticist,"Mcintyre, Dunn and Hunter",Sydney,Mid Level,144000.0,Finance,"Risk Analysis, SQL"
"Accountant, chartered",Morris LLC,Berlin,Mid Level,92000.0,Software,"AWS, Python, Machine Learning"
Visual merchandiser,Burns Ltd,San Francisco,Senior Level,49000.0,Education,"Curriculum Design, Teaching"
Company secretary,Brown Ltd,Berlin,Senior Level,144000.0,Software,"AWS, C++, Python"
Advertising account executive,May-Hale,Bangalore,Entry Level,147000.0,Marketing,"Content Writing, Social Media, Google Ads, Market Research"
"Horticulturist, amenity","Stone, Lane and Cannon",Sydney,Senior Level,52000.0,Software,"Java, Python, AWS"
Licensed conveyancer,"Wade, Glass and Dixon",Sydney,Entry Level,150000.0,Software,"Java, C++"
Proofreader,Johnson-Clark,Bangalore,Mid Level,89000.0,Education,"Research, Teaching, Curriculum Design"
"Nurse, adult",White-Smith,London,Mid Level,92000.0,Retail,"Merchandising, Customer Service, Sales"
Production engineer,Paul PLC,Toronto,Entry Level,85000.0,Healthcare,"Medical Research, Nursing, Patient Care, Pharmaceuticals"
Trade union research officer,Payne-Wilson,London,Mid Level,110000.0,Manufacturing,"Supply Chain, Production Planning"
Arboriculturist,Miles PLC,Berlin,Entry Level,56000.0,Software,"Python, Machine Learning, C++"
Nutritional therapist,"Wells, Morgan and Grant",New York,Entry Level,97000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
"Doctor, general practice","Christian, Thomas and Williams",Berlin,Senior Level,131000.0,Software,"React, SQL, Java"
Biomedical engineer,Watkins and Sons,London,Mid Level,88000.0,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care"
"Conservation officer, nature",Yoder-Moreno,San Francisco,Entry Level,123000.0,Education,Curriculum Design
Historic buildings inspector/conservation officer,Norman LLC,New York,Entry Level,115000.0,Healthcare,"Pharmaceuticals, Patient Care, Medical Research"
Sub,Green and Sons,San Francisco,Senior Level,70000.0,Finance,"SQL, Python, Financial Modeling, Risk Analysis"
"Sales professional, IT","Stewart, Hamilton and Lopez",New York,Entry Level,100000.0,Software,"Python, Java, C++, Machine Learning"
Legal executive,"Carroll, Carroll and Becker",Sydney,Entry Level,136000.0,Finance,SQL
Multimedia specialist,Williams-Meyers,Bangalore,Senior Level,71000.0,Education,"Curriculum Design, Research, EdTech"
"Engineer, manufacturing systems","Wolfe, Gray and Whitehead",Sydney,Senior Level,113000.0,Education,"EdTech, Curriculum Design"
Office manager,"Jenkins, Nicholson and Higgins",Sydney,Mid Level,44000.0,Software,"AWS, Java, Machine Learning"
"Production designer, theatre/television/film","Edwards, Benton and Mcguire",Bangalore,Senior Level,74000.0,Finance,"Risk Analysis, SQL"
Medical illustrator,Sosa Ltd,London,Entry Level,86000.0,Finance,Excel
Oceanographer,Williams-Cruz,Sydney,Entry Level,129000.0,Software,AWS
Neurosurgeon,"Murray, Guzman and Thompson",San Francisco,Senior Level,111000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Professor Emeritus,Lowe LLC,New York,Senior Level,103000.0,Healthcare,"Patient Care, Pharmaceuticals, Nursing"
"Psychologist, prison and probation services",Rodriguez-Martinez,Toronto,Senior Level,130000.0,Education,"Curriculum Design, Research, EdTech"
Contractor,Arnold-Buckley,Bangalore,Entry Level,110000.0,Marketing,"Google Ads, SEO"
Local government officer,Pearson-Wright,Toronto,Senior Level,113000.0,Education,"Curriculum Design, Research, Teaching"
Camera operator,Acevedo Group,Sydney,Mid Level,90000.0,Retail,Merchandising
Broadcast journalist,Smith Group,Bangalore,Entry Level,96000.0,Software,"Machine Learning, Java"
Medical technical officer,Taylor Inc,Toronto,Senior Level,67000.0,Retail,Merchandising
Arts development officer,Nguyen-Jones,New York,Senior Level,100000.0,Finance,"Risk Analysis, Excel, SQL, Python"
Architectural technologist,Keller-Perkins,New York,Entry Level,110000.0,Finance,Financial Modeling
"Teacher, English as a foreign language",Smith Inc,Toronto,Senior Level,107000.0,Education,"Research, Teaching, EdTech"
Chief Executive Officer,Taylor-Martinez,New York,Mid Level,125000.0,Retail,"Sales, Customer Service, Merchandising"
Artist,Stewart-Evans,San Francisco,Entry Level,99000.0,Education,"Curriculum Design, EdTech, Teaching, Research"
Equities trader,Taylor Inc,Bangalore,Entry Level,63000.0,Retail,Merchandising
Financial controller,Gross-Reyes,Bangalore,Entry Level,141000.0,Education,"Teaching, Curriculum Design, EdTech"
"Production assistant, radio",Thomas-Lee,New York,Entry Level,136000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
"Lecturer, higher education",Williams LLC,London,Mid Level,143000.0,Education,"Teaching, Research, EdTech"
Geophysical data processor,Fields Inc,New York,Entry Level,58000.0,Software,"AWS, Java, Python, React"
"Lecturer, higher education",Parker-Davis,Berlin,Entry Level,50000.0,Education,"Research, Curriculum Design"
"Doctor, general practice","Bell, Jackson and Burns",New York,Entry Level,73000.0,Healthcare,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
Photographer,"White, Simon and Howe",Berlin,Entry Level,82000.0,Marketing,"Market Research, Google Ads, Content Writing"
Emergency planning/management officer,Lee Inc,New York,Mid Level,117000.0,Finance,"Python, Risk Analysis, Excel"
"Doctor, general practice",Sellers PLC,Toronto,Senior Level,46000.0,Marketing,"Market Research, SEO, Google Ads"
Ambulance person,"Roman, Brown and Gardner",London,Entry Level,93000.0,Retail,"Sales, Customer Service, Merchandising"
Research scientist (life sciences),Walker Inc,Bangalore,Mid Level,68000.0,Manufacturing,Production Planning
Logistics and distribution manager,"Garcia, Hobbs and Dillon",New York,Entry Level,109000.0,Retail,"Sales, Merchandising, Customer Service"
"Engineer, broadcasting (operations)",Ayala and Sons,New York,Mid Level,60000.0,Software,"Python, React, Java"
"Editor, film/video",Carpenter and Sons,San Francisco,Entry Level,135000.0,Software,"Machine Learning, Python, Java, AWS"
Dentist,Thompson-Warner,Toronto,Senior Level,123000.0,Finance,"Python, Excel, SQL"
Secondary school teacher,"Thomas, Sandoval and Perry",London,Mid Level,92000.0,Software,"AWS, Python, Machine Learning"
Information officer,Molina-Adams,Bangalore,Mid Level,55000.0,Retail,"Merchandising, Customer Service, Sales"
Claims inspector/assessor,Smith-Richards,London,Senior Level,62000.0,Finance,"Excel, SQL"
"Therapist, art",Velasquez-Rowe,San Francisco,Senior Level,48000.0,Healthcare,"Medical Research, Patient Care, Nursing, Pharmaceuticals"
Hydrographic surveyor,Johnson PLC,New York,Mid Level,72000.0,Finance,Excel
"Editor, magazine features",Leach and Sons,San Francisco,Entry Level,117000.0,Education,"Teaching, EdTech, Research"
"Therapist, nutritional",Ortiz Ltd,Toronto,Mid Level,143000.0,Manufacturing,Supply Chain
Politician's assistant,Knight Ltd,Bangalore,Entry Level,52000.0,Retail,"Customer Service, Merchandising"
Sales executive,Williams Ltd,Sydney,Mid Level,53000.0,Software,"C++, React, Python, Machine Learning"
Adult nurse,Armstrong Group,New York,Senior Level,107000.0,Software,Python
"Education officer, museum",Mcconnell-Rodriguez,London,Entry Level,49000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals"
"Research officer, government","Scott, Hood and Turner",San Francisco,Entry Level,139000.0,Finance,Financial Modeling
Manufacturing engineer,"Johnson, Santiago and Cox",London,Senior Level,60000.0,Marketing,"SEO, Google Ads, Content Writing, Market Research"
Freight forwarder,"Richardson, Rios and Gonzales",Berlin,Mid Level,41000.0,Software,"C++, SQL, AWS"
Ergonomist,Armstrong and Sons,Sydney,Mid Level,42000.0,Software,"SQL, Python, Machine Learning, Java"
Theatre manager,Brown-Green,London,Mid Level,112000.0,Finance,"SQL, Risk Analysis, Python, Financial Modeling"
Marketing executive,Perez and Sons,Sydney,Entry Level,56000.0,Finance,SQL
Magazine journalist,"Alvarez, Rowe and Li",London,Mid Level,87000.0,Finance,"Excel, Risk Analysis, Python"
Clinical embryologist,Levine-Ramirez,Toronto,Senior Level,125000.0,Software,React
"Surveyor, quantity",Diaz-Jones,Berlin,Mid Level,84000.0,Manufacturing,"Quality Control, Production Planning"
Hospital pharmacist,Cervantes and Sons,New York,Entry Level,142000.0,Software,"SQL, AWS, Java"
"Education officer, museum","Atkinson, Lopez and Anthony",London,Mid Level,63000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Farm manager,Moore Inc,Bangalore,Entry Level,104000.0,Finance,Risk Analysis
Sales promotion account executive,"Kennedy, Curtis and Valdez",Sydney,Senior Level,114000.0,Education,"Research, Teaching, EdTech"
Risk analyst,"Nichols, Harrison and Smith",Bangalore,Mid Level,133000.0,Education,"Curriculum Design, EdTech, Research"
Advertising art director,Washington-Morales,New York,Mid Level,102000.0,Manufacturing,"Quality Control, Production Planning"
"Teacher, secondary school",Knox Ltd,Bangalore,Mid Level,89000.0,Retail,"Customer Service, Sales, Merchandising"
Bonds trader,"Michael, Hughes and Wright",Toronto,Entry Level,111000.0,Marketing,"Google Ads, Content Writing, Market Research, Social Media"
Tourism officer,"Hernandez, Fox and Zamora",San Francisco,Entry Level,150000.0,Marketing,SEO
Training and development officer,Bell Inc,New York,Entry Level,133000.0,Finance,"Financial Modeling, Risk Analysis"
Chemical engineer,Jones-Castro,New York,Entry Level,107000.0,Marketing,"Social Media, Content Writing, Google Ads, SEO"
Plant breeder/geneticist,Parsons-Hernandez,San Francisco,Entry Level,56000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Immigration officer,Green-Carter,Toronto,Mid Level,120000.0,Retail,"Sales, Merchandising, Customer Service"
"Pharmacist, community",Hansen-Wilcox,New York,Mid Level,76000.0,Marketing,"Google Ads, Market Research"
Oncologist,Griffin-Harper,Berlin,Entry Level,80000.0,Finance,"SQL, Python, Risk Analysis"
Arts development officer,"Johnson, Smith and Hull",Toronto,Entry Level,116000.0,Education,"EdTech, Curriculum Design"
"Administrator, sports",Brown-Howard,San Francisco,Entry Level,120000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals"
Automotive engineer,Allen PLC,London,Entry Level,87000.0,Healthcare,"Patient Care, Medical Research, Nursing, Pharmaceuticals"
Politician's assistant,Silva-Rhodes,London,Mid Level,142000.0,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care"
Lexicographer,Berg-Schroeder,Toronto,Mid Level,148000.0,Healthcare,"Patient Care, Medical Research"
Marine scientist,Stewart-Moore,London,Entry Level,55000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
"Conservation officer, nature",Miles-Hall,San Francisco,Entry Level,56000.0,Software,"Python, Machine Learning"
Holiday representative,Lee Group,New York,Mid Level,67000.0,Marketing,SEO
Land/geomatics surveyor,"Lewis, Lopez and Brown",Toronto,Entry Level,122000.0,Education,EdTech
Community arts worker,Powers Group,Berlin,Mid Level,106000.0,Marketing,"Market Research, Google Ads, Content Writing, SEO"
Learning mentor,Cameron Inc,Sydney,Mid Level,125000.0,Retail,"Customer Service, Sales"
"Engineer, civil (contracting)","Murray, Stanton and Buchanan",Sydney,Senior Level,67000.0,Finance,"Financial Modeling, Excel"
Educational psychologist,Elliott Inc,Bangalore,Senior Level,113000.0,Finance,"Financial Modeling, Python, Excel, SQL"
"Presenter, broadcasting",Santiago-Clark,San Francisco,Entry Level,131000.0,Manufacturing,Supply Chain
"Scientist, research (life sciences)","Matthews, Byrd and Martinez",London,Mid Level,57000.0,Manufacturing,Supply Chain
"Administrator, Civil Service",White PLC,Bangalore,Senior Level,130000.0,Marketing,"Social Media, Google Ads"
Operational researcher,Blake-Miller,Bangalore,Senior Level,42000.0,Education,"Teaching, Research, Curriculum Design, EdTech"
"Research officer, trade union",Hill and Sons,New York,Senior Level,128000.0,Software,"Python, AWS, C++"
Science writer,Cummings and Sons,Sydney,Senior Level,132000.0,Healthcare,Patient Care
Paediatric nurse,Curtis and Sons,San Francisco,Entry Level,132000.0,Education,"Teaching, Research, Curriculum Design, EdTech"
Physiological scientist,Cooper and Sons,London,Mid Level,121000.0,Software,Python
Clothing/textile technologist,Bautista-Harrison,London,Mid Level,135000.0,Healthcare,"Nursing, Medical Research, Patient Care"
Retail merchandiser,Mack-Lambert,Bangalore,Entry Level,141000.0,Education,"Research, Teaching, EdTech"
Prison officer,Jones-Schneider,Bangalore,Mid Level,141000.0,Manufacturing,Quality Control
"Psychologist, educational","Joseph, Dominguez and Miller",London,Entry Level,53000.0,Finance,"Risk Analysis, SQL"
Aeronautical engineer,Schneider-Diaz,New York,Entry Level,149000.0,Finance,"SQL, Financial Modeling, Risk Analysis, Excel"
"Buyer, industrial",Peck-Terrell,Bangalore,Mid Level,111000.0,Marketing,Market Research
Pharmacologist,"Lane, Stephens and Howard",Berlin,Senior Level,58000.0,Healthcare,Medical Research
"Designer, ceramics/pottery",Blake-Alvarez,Toronto,Entry Level,141000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Chemist, analytical","Tran, Cervantes and Craig",San Francisco,Entry Level,115000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Tax adviser,"Torres, Conner and Nguyen",Berlin,Entry Level,53000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Advertising art director,Buck-Delgado,Berlin,Senior Level,57000.0,Retail,"Customer Service, Merchandising, Sales"
Clinical cytogeneticist,Moreno and Sons,Berlin,Senior Level,87000.0,Software,"C++, SQL, React, AWS"
